City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Guerrero Negro,MX,71.96,clear sky,27.9769,-114.0611,
6,Victoria,HK,72.03,overcast clouds,22.2855,114.1577,
7,Sao Filipe,CV,78.58,overcast clouds,14.8961,-24.4956,
9,Batang Berjuntai,MY,86.54,overcast clouds,3.3833,101.4167,
10,Caucaia,BR,80.55,few clouds,-3.7361,-38.6531,
18,Daru,PG,81.68,overcast clouds,-9.0763,143.2092,
22,Buerarema,BR,77.59,clear sky,-14.9594,-39.2997,
37,Isangel,VU,84.31,broken clouds,-19.55,169.2667,
40,Abnub,EG,70.02,clear sky,27.2696,31.1511,
41,Santa Cruz Del Sur,CU,80.4,light rain,20.7147,-77.9956,
42,Honiara,SB,86.95,few clouds,-9.4333,159.95,
46,Mandera,KE,77.22,overcast clouds,3.9366,41.867,
48,Buala,SB,84.56,light rain,-8.145,159.5921,
50,Butaritari,KI,81.88,scattered clouds,3.0707,172.7902,
53,Malinyi,TZ,70.07,clear sky,-8.9333,36.1333,
68,Mambatangan,PH,78.55,broken clouds,8.4333,124.8333,
70,Napa,US,75.27,overcast clouds,38.4832,-122.3344,
71,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,
73,Coahuayana,MX,78.85,moderate rain,18.7333,-103.6833,
74,Japura,ID,76.3,overcast clouds,-0.3167,102.35,
76,Hilo,US,89.28,scattered clouds,19.7297,-155.09,
81,Gamboma,CG,71.78,light rain,-1.8764,15.8644,
82,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,
84,Port Augusta,AU,71.15,overcast clouds,-32.5,137.7667,
85,Cayenne,GF,77.04,few clouds,4.9333,-52.3333,
86,Lompoc,US,73.54,clear sky,34.6391,-120.4579,
90,Ponta Do Sol,PT,74.01,few clouds,32.6667,-17.1,
92,Atuona,PF,76.89,scattered clouds,-9.8,-139.0333,
94,Celestun,MX,80.73,light rain,20.8667,-90.4,
95,Palauig,PH,83.46,broken clouds,15.435,119.9045,
99,Airai,TL,73.22,broken clouds,-8.9266,125.4092,
101,Nicoya,CR,74.39,overcast clouds,10.1483,-85.452,
103,Neiafu,TO,83.08,few clouds,-18.65,-173.9833,
104,Umm Lajj,SA,81.0,few clouds,25.0213,37.2685,
107,Jimeta,NG,76.73,broken clouds,9.2833,12.4667,
112,Kupang,ID,87.84,overcast clouds,-10.1667,123.5833,
113,Acarau,BR,79.05,broken clouds,-2.8856,-40.12,
114,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,
116,Hithadhoo,MV,80.6,overcast clouds,-0.6,73.0833,
118,Santa Luzia,BR,74.48,clear sky,-19.7697,-43.8514,
119,Alyangula,AU,86.02,scattered clouds,-13.8483,136.4192,
123,Laguna,US,79.09,clear sky,38.421,-121.4238,
124,Teresina,BR,87.51,clear sky,-5.0892,-42.8019,
125,Souillac,MU,69.84,scattered clouds,-20.5167,57.5167,
129,Mogadishu,SO,77.22,scattered clouds,2.0371,45.3438,
132,Axim,GH,76.8,few clouds,4.8699,-2.2405,
133,Kulhudhuffushi,MV,78.48,overcast clouds,6.6221,73.07,
135,Kapaa,US,84.18,clear sky,22.0752,-159.319,
139,Dzaoudzi,YT,73.29,clear sky,-12.7887,45.2699,
141,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,
142,Inhambane,MZ,71.89,scattered clouds,-23.865,35.3833,
144,Maningrida,AU,89.29,overcast clouds,-12.0667,134.2667,
148,Mount Isa,AU,92.32,moderate rain,-20.7333,139.5,
152,Bengkulu,ID,77.95,overcast clouds,-3.8004,102.2655,
154,Namatanai,PG,83.75,light rain,-3.6667,152.4333,
155,Maxixe,MZ,70.72,broken clouds,-23.8597,35.3472,
158,Marawi,PH,78.75,overcast clouds,7.9986,124.2928,
159,Cururupu,BR,78.06,few clouds,-1.8283,-44.8683,
160,Sinazongwe,ZM,74.77,few clouds,-17.2614,27.4618,
164,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,
165,Mbini,GQ,78.69,light rain,1.574,9.6134,
167,Tadine,NC,78.55,overcast clouds,-21.55,167.8833,
168,Banda Aceh,ID,80.91,overcast clouds,5.5577,95.3222,
169,Marsh Harbour,BS,80.53,scattered clouds,26.5412,-77.0636,
173,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,
174,Mayumba,GA,76.91,overcast clouds,-3.432,10.6554,
176,Siparia,TT,79.79,overcast clouds,10.1333,-61.5,
177,Casablanca,MA,73.42,overcast clouds,33.5928,-7.6192,
178,Carutapera,BR,78.75,clear sky,-1.195,-46.02,
182,Lockhart,US,75.29,scattered clouds,28.6194,-81.4426,
183,Palafrugell,ES,70.43,scattered clouds,41.9174,3.1631,
185,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,
187,Tayu,ID,81.63,light rain,-6.5397,111.0518,
188,Mitsamiouli,KM,74.5,clear sky,-11.3847,43.2844,
189,Dingle,PH,81.73,overcast clouds,10.9995,122.6711,
192,Cabo San Lucas,MX,82.62,scattered clouds,22.8909,-109.9124,
